geneId	symbol	chromosome	Synonyms	type_of_gene
1	A1BG	19	A1B|ABG|GAB|HYST2477	protein-coding
2	A2M	12	A2MD|CPAMD5|FWP007|S863-7	protein-coding
3	A2MP1	12	A2MP	pseudo
9	NAT1	8	AAC1|MNAT|NAT-1|NATI	protein-coding
10	NAT2	8	AAC2|NAT-2|PNAT	protein-coding
11	NATP	8	AACP|NATP1	pseudo
12	SERPINA3	14	AACT|ACT|GIG24|GIG25	protein-coding
13	AADAC	3	CES5A1|DAC	protein-coding
14	AAMP	2	-	protein-coding
15	AANAT	17	DSPS|SNAT	protein-coding
16	AARS	16	CMT2N|EIEE29	protein-coding
17	AAVS1	19	AAV	other
18	ABAT	16	GABA-AT|GABAT|NPD009	protein-coding
19	ABCA1	9	ABC-1|ABC1|CERP|HDLDT1|TGD	protein-coding
20	ABCA2	9	ABC2	protein-coding
21	ABCA3	16	ABC-C|ABC3|EST111653|LBM180|SMDP3	protein-coding
22	ABCB7	X	ABC7|ASAT|Atm1p|EST140535	protein-coding
23	ABCF1	6	ABC27|ABC50	protein-coding
24	ABCA4	1	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	protein-coding
25	ABL1	9	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	protein-coding
26	AOC1	7	ABP|ABP1|DAO|DAO1|KAO	protein-coding
27	ABL2	1	ABLL|ARG	protein-coding
28	ABO	9	A3GALNT|A3GALT1|GTB|NAGAT	protein-coding
29	ABR	17	MDB	protein-coding
30	ACAA1	3	ACAA|PTHIO|THIO	protein-coding
31	ACACA	17	ACAC|ACACAD|ACC|ACC1|ACCA	protein-coding
32	ACACB	12	ACC2|ACCB|HACC275	protein-coding
33	ACADL	2	ACAD4|LCAD	protein-coding
34	ACADM	1	ACAD1|MCAD|MCADH	protein-coding
35	ACADS	12	ACAD3|SCAD	protein-coding
36	ACADSB	10	2-MEBCAD|ACAD7|SBCAD	protein-coding
37	ACADVL	17	ACAD6|LCACD|VLCAD	protein-coding
38	ACAT1	11	ACAT|MAT|T2|THIL	protein-coding
39	ACAT2	6	-	protein-coding
40	ASIC2	17	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	protein-coding
41	ASIC1	12	ACCN2|ASIC|BNaC2	protein-coding
43	ACHE	7	ACEE|ARACHE|N-ACHE|YT	protein-coding
46	ACLS	12	-	unknown
47	ACLY	17	ACL|ATPCL|CLATP	protein-coding
48	ACO1	9	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	protein-coding
49	ACR	22	-	protein-coding
50	ACO2	22	ACONM|HEL-S-284|ICRD|OCA8|OPA9	protein-coding
51	ACOX1	17	ACOX|PALMCOX|SCOX	protein-coding
52	ACP1	2	HAAP|LMW-PTP|LMWPTP	protein-coding
53	ACP2	11	LAP	protein-coding
54	ACP5	19	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase	protein-coding
55	ACPP	3	5'-NT|ACP-3|ACP3	protein-coding
56	ACRV1	11	D11S4365|SP-10|SPACA2	protein-coding
58	ACTA1	1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	protein-coding
59	ACTA2	10	AAT6|ACTSA|MYMY5	protein-coding
60	ACTB	7	BRWS1|PS1TP5BP1	protein-coding
62	ACTBP2	5	-	pseudo
63	ACTBP3	18	-	pseudo
64	ACTBP4	5	-	pseudo
66	ACTBP6	8	H8-PSI-BETA-AC3	pseudo
67	ACTBP7	15	-	pseudo
68	ACTBP8	6	ACTBP2	pseudo
69	ACTBP9	18	-	pseudo
70	ACTC1	15	ACTC|ASD5|CMD1R|CMH11|LVNC4	protein-coding
71	ACTG1	17	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	protein-coding
72	ACTG2	2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	protein-coding
73	ACTG1P1	3	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	pseudo
74	ACTG1P2	Y	ACTGP2|ACTL2	pseudo
75	ACTG1P3	20	ACTGP3|dJ545L17.4	pseudo
78	ACTG1P6	1	ACTGP6	pseudo
79	ACTG1P7	1	ACTGP7	pseudo
